,State,STNAME,Coc,CoC Code,FIPS code,CTYNAME,Year,Population
164,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2012,58971.0
165,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2012,634965.0
166,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2012,298826.0
167,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2012,546736.0
168,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2012,635737.0
169,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2012,1279861.0
170,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2012,973464.0
171,IL,Illinois,Chicago,IL-510,17031,Cook County,2012,5239105.0
172,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2012,751371.0
173,MI,Michigan,Detroit,MI-501,26163,Wayne County,2012,1795797.0
174,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2012,1989644.0
175,NY,New York,New York City,NY-600,36005,Bronx County,2012,1411087.0
176,NY,New York,New York City,NY-600,36047,Kings County,2012,2568538.0
177,NY,New York,New York City,NY-600,36061,New York County,2012,1624573.0
178,NY,New York,New York City,NY-600,36081,Queens County,2012,2271920.0
179,NY,New York,New York City,NY-600,36085,Richmond County,2012,470597.0
180,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2012,
181,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2012,4262549.0
182,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2012,484627.0
183,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2012,624737.0
184,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2012,1096918.0
185,WA,Washington,Seattle/King,WA-500,53033,King County,2012,2011708.0
186,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2013,4018657.0
187,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2013,9987189.0
188,CA,California,San Diego City and County,CA-601,6073,San Diego County,2013,3210788.0
189,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2013,1866050.0
190,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2013,2082101.0
191,CA,California,San Francisco,CA-501,6075,San Francisco County,2013,839695.0
192,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2013,469995.0
193,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2013,609089.0
194,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2013,309538.0
195,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2013,60158.0
196,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2013,649270.0
197,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2013,306407.0
198,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2013,552242.0
199,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2013,651559.0
200,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2013,1304474.0
201,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2013,981844.0
202,IL,Illinois,Chicago,IL-510,17031,Cook County,2013,5252513.0
203,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2013,762863.0
204,MI,Michigan,Detroit,MI-501,26163,Wayne County,2013,1780131.0
205,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2013,2017798.0
206,NY,New York,New York City,NY-600,36005,Bronx County,2013,1421498.0
207,NY,New York,New York City,NY-600,36047,Kings County,2013,2587759.0
208,NY,New York,New York City,NY-600,36061,New York County,2013,1628379.0
209,NY,New York,New York City,NY-600,36081,Queens County,2013,2286788.0
210,NY,New York,New York City,NY-600,36085,Richmond County,2013,471783.0
211,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2013,
212,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2013,4352419.0
213,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2013,498488.0
214,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2013,651770.0
215,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2013,1122346.0
216,WA,Washington,Seattle/King,WA-500,53033,King County,2013,2047967.0
217,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2014,4094842.0
218,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2014,10033449.0
219,CA,California,San Diego City and County,CA-601,6073,San Diego County,2014,3249307.0
220,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2014,1891286.0
221,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2014,2098346.0
222,CA,California,San Francisco,CA-501,6075,San Francisco County,2014,850918.0
223,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2014,479954.0
224,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2014,619681.0
225,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2014,312525.0
226,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2014,61791.0
227,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2014,664540.0
228,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2014,314783.0
229,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2014,559099.0
230,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2014,663603.0
231,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2014,1332742.0
232,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2014,992321.0
233,IL,Illinois,Chicago,IL-510,17031,Cook County,2014,5254108.0
234,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2014,774113.0
235,MI,Michigan,Detroit,MI-501,26163,Wayne County,2014,1771626.0
236,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2014,2053929.0
237,NY,New York,New York City,NY-600,36005,Bronx County,2014,1430474.0
238,NY,New York,New York City,NY-600,36047,Kings County,2014,2601527.0
239,NY,New York,New York City,NY-600,36061,New York County,2014,1631733.0
240,NY,New York,New York City,NY-600,36081,Queens County,2014,2298234.0
241,NY,New York,New York City,NY-600,36085,Richmond County,2014,471899.0
242,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2014,
243,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2014,4454951.0
244,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2014,517262.0
245,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2014,683977.0
246,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2014,1152411.0
247,WA,Washington,Seattle/King,WA-500,53033,King County,2014,2086174.0
